Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 Compresseur 3 KWh-Dif;MISFAT 3 G39 KWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 G10 KWh-Diff;MISFAT 3 TGBT N°3 KWh-Diff;MISFAT 3 Eclairage 3-2 KWh-Dif
2025-01-16 20:00:00 CEST;"71;8125";"99;25";"45;8125";"19;15625";"26;0625";"4;3173828125";"652;5";0,0kWh
2025-01-16 21:00:00 CEST;"4;9375";"99;375";"38;625";"1;5";"27;1875";0,0kWh;"606;5";0,0kWh
2025-01-16 22:00:00 CEST;"4;578125";98,0kWh;"38;75";"1;53125";"32;125";0,0kWh;"598;5";0,0kWh
2025-01-16 23:00:00 CEST;"2;703125";"56;875";22,0kWh;"0;875";"16;625";0,0kWh;"70;5";0,0kWh
2025-01-17 00:00:00 CEST;"4;65625";"98;375";"39;1875";"1;59375";"42;5";0,0kWh;"618;5";0,0kWh
2025-01-17 01:00:00 CEST;"4;75";"97;125";"39;5";"1;625";"33;375";0,0kWh;"612;5";0,0kWh
2025-01-17 02:00:00 CEST;"2;953125";"60;125";"23;75";"0;96875";"28;9375";0,0kWh;"390;5";0,0kWh
2025-01-17 03:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-01-17 04:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-01-17 05:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-01-17 06:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-01-17 07:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-01-17 08:00:00 CEST;"22;875";"17;125";"16;4375";"1;15625";0,0kWh;0,0kWh;"280;5";0,0kWh
2025-01-17 09:00:00 CEST;"82;71875";"98;5";"52;125";"24;3125";"47;4375";"10;08447265625";"836;5";0,0kWh
2025-01-17 10:00:00 CEST;"77;390625";"101;125";"51;5";"39;1875";"38;125";"8;15966796875";"776;5";0,0kWh
2025-01-17 11:00:00 CEST;"75;828125";"98;625";"56;5625";"38;46875";"37;1875";"8;2265625";"802;5";0,0kWh
2025-01-17 12:00:00 CEST;"77;8125";"99;25";"53;4375";"38;09375";"36;25";"7;91015625";"790;5";0,0kWh
2025-01-17 13:00:00 CEST;"77;9375";"99;375";"47;875";38,0kWh;"30;25";"8;04052734375";"710;5";0,0kWh
2025-01-17 14:00:00 CEST;"79;078125";"99;875";"50;8125";"37;90625";"32;625";"8;06298828125";"716;5";0,0kWh
2025-01-17 15:00:00 CEST;"78;453125";"98;125";"50;5625";"37;875";"30;8125";"8;0859375";"666;5";0,0kWh
2025-01-17 16:00:00 CEST;"79;421875";"98;75";47,0kWh;"13;65625";"28;75";"8;087890625";"654;5";0,0kWh
2025-01-17 17:00:00 CEST;"78;171875";"99;25";"48;5";"40;375";"30;5625";"8;13037109375";"680;5";0,0kWh
2025-01-17 18:00:00 CEST;"77;71875";"98;875";"46;375";"42;1875";"31;375";"8;11328125";"670;5";0,0kWh
2025-01-17 19:00:00 CEST;"77;640625";"98;75";"44;4375";"42;34375";"35;0625";"8;169921875";"640;5";0,0kWh
2025-01-17 20:00:00 CEST;"74;265625";97,0kWh;"43;125";"42;3125";"33;875";"5;55224609375";"666;5";0,0kWh
2025-01-17 21:00:00 CEST;"11;078125";"98;875";"36;5625";"2;5625";"28;625";0,0kWh;"614;5";0,0kWh
2025-01-17 22:00:00 CEST;"7;5625";"98;25";"38;375";"3;75";0,0kWh;0,0kWh;"566;5";0,0kWh
2025-01-17 23:00:00 CEST;"3;953125";"63;25";"23;5625";"2;5";0,0kWh;0,0kWh;"78;5";0,0kWh
2025-01-18 00:00:00 CEST;"5;671875";"98;5";"37;6875";"3;96875";0,0kWh;0,0kWh;"544;5";0,0kWh
2025-01-18 01:00:00 CEST;"5;046875";"45;125";36,0kWh;"3;9375";0,0kWh;0,0kWh;"506;5";0,0kWh
2025-01-18 02:00:00 CEST;"4;625";68,0kWh;"35;5";"3;96875";0,0kWh;0,0kWh;"498;5";0,0kWh
2025-01-18 03:00:00 CEST;"5;484375";"91;125";"37;5625";4,0kWh;0,0kWh;0,0kWh;"564;5";0,0kWh
2025-01-18 04:00:00 CEST;"4;390625";"90;25";"37;4375";4,0kWh;0,0kWh;0,0kWh;"566;5";0,0kWh
2025-01-18 05:00:00 CEST;"5;546875";"56;75";"34;125";4,0kWh;0,0kWh;0,0kWh;"518;5";0,0kWh
2025-01-18 06:00:00 CEST;"20;4375";"48;5";24,0kWh;"4;5";0,0kWh;"3;68505859375";"474;5";0,0kWh
2025-01-18 07:00:00 CEST;"82;78125";"44;5";"42;875";"42;75";"49;375";"9;58056640625";"672;5";0,0kWh
2025-01-18 08:00:00 CEST;"79;5625";"42;875";"47;375";"40;46875";"33;375";"8;3173828125";"654;5";0,0kWh
2025-01-18 09:00:00 CEST;"77;875";"43;5";"45;4375";"42;65625";"32;25";"7;94873046875";"652;5";0,0kWh
2025-01-18 10:00:00 CEST;78,0kWh;"43;375";"42;375";"42;5625";"35;625";"8;37646484375";"630;5";0,0kWh
2025-01-18 11:00:00 CEST;"85;875";"43;125";"43;3125";"42;375";"41;4375";"7;95263671875";"652;5";0,0kWh
2025-01-18 12:00:00 CEST;"90;59375";43,0kWh;"41;9375";"42;8125";"32;4375";"7;66943359375";"612;5";0,0kWh
2025-01-18 13:00:00 CEST;"76;390625";"39;875";"39;0625";"41;8125";"31;9375";"7;7294921875";"580;5";0,0kWh
2025-01-18 14:00:00 CEST;"78;796875";"45;25";"39;125";"17;25";"29;125";"7;67431640625";"580;5";0,0kWh
2025-01-18 15:00:00 CEST;"56;203125";"43;25";"40;9375";"42;875";"31;6875";"7;6962890625";"576;5";0,0kWh
2025-01-18 16:00:00 CEST;"75;4375";44,0kWh;41,0kWh;"43;03125";"34;625";"7;6787109375";"524;5";0,0kWh
2025-01-18 17:00:00 CEST;"73;6875";"39;5";"42;5625";43,0kWh;"33;0625";"7;689453125";"498;5";0,0kWh
2025-01-18 18:00:00 CEST;"72;125";"35;375";"39;5625";"42;9375";"40;9375";"7;70703125";"478;5";0,0kWh
2025-01-18 19:00:00 CEST;"76;625";"34;25";"38;25";"43;125";"22;4375";"7;71728515625";"428;5";0,0kWh
2025-01-18 20:00:00 CEST;"67;640625";34,0kWh;37,0kWh;"39;4375";0,0kWh;"1;26123046875";"420;5";0,0kWh
2025-01-18 21:00:00 CEST;"5;421875";"14;5";4,0kWh;0,0kWh;0,0kWh;0,0kWh;"172;5";0,0kWh
2025-01-18 22:00:00 CEST;"4;953125";"13;75";"0;0625";0,0kWh;0,0kWh;0,0kWh;"152;5";0,0kWh
2025-01-18 23:00:00 CEST;"3;4375";9,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"34;5";0,0kWh
2025-01-19 00:00:00 CEST;"4;828125";"13;875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"148;5";0,0kWh
2025-01-19 01:00:00 CEST;"5;375";"14;25";"0;0625";0,0kWh;0,0kWh;0,0kWh;"144;5";0,0kWh
2025-01-19 02:00:00 CEST;5,0kWh;"10;375";"0;0625";0,0kWh;0,0kWh;0,0kWh;"132;5";0,0kWh
2025-01-19 03:00:00 CEST;"5;015625";"9;25";"0;0625";0,0kWh;0,0kWh;0,0kWh;"130;5";0,0kWh
2025-01-19 04:00:00 CEST;"5;046875";"9;625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"132;5";0,0kWh
2025-01-19 05:00:00 CEST;"5;078125";"9;375";"0;0625";0,0kWh;0,0kWh;0,0kWh;"126;5";0,0kWh
2025-01-19 06:00:00 CEST;"5;125";"9;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"138;5";0,0kWh
2025-01-19 07:00:00 CEST;"5;328125";"9;875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"138;5";0,0kWh
2025-01-19 08:00:00 CEST;"5;375";"9;375";"0;0625";0,0kWh;0,0kWh;0,0kWh;"142;5";0,0kWh
2025-01-19 09:00:00 CEST;"4;96875";"9;25";"0;0625";0,0kWh;0,0kWh;0,0kWh;"134;5";0,0kWh
2025-01-19 10:00:00 CEST;"4;96875";"9;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"142;5";0,0kWh
2025-01-19 11:00:00 CEST;"4;875";"8;75";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"142;5";0,0kWh
2025-01-19 12:00:00 CEST;"4;953125";"9;125";"0;0625";0,0kWh;0,0kWh;0,0kWh;"146;5";0,0kWh
2025-01-19 13:00:00 CEST;"5;1875";9,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"146;5";0,0kWh
2025-01-19 14:00:00 CEST;"4;75";"9;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"138;5";0,0kWh
2025-01-19 15:00:00 CEST;"4;734375";"8;875";"0;0625";0,0kWh;0,0kWh;0,0kWh;"130;5";0,0kWh
2025-01-19 16:00:00 CEST;"4;703125";"8;75";"0;0625";0,0kWh;0,0kWh;0,0kWh;"124;5";0,0kWh
2025-01-19 17:00:00 CEST;"5;0625";"9;375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"128;5";0,0kWh
2025-01-19 18:00:00 CEST;"5;171875";"8;875";"0;0625";0,0kWh;0,0kWh;0,0kWh;"132;5";0,0kWh
2025-01-19 19:00:00 CEST;"4;828125";"9;125";"0;0625";0,0kWh;0,0kWh;0,0kWh;"130;5";0,0kWh
2025-01-19 20:00:00 CEST;"4;828125";"8;625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"122;5";0,0kWh
2025-01-19 21:00:00 CEST;"4;78125";"9;375";"0;0625";0,0kWh;0,0kWh;0,0kWh;"124;5";0,0kWh
2025-01-19 22:00:00 CEST;"5;109375";"9;375";"0;0625";0,0kWh;0,0kWh;0,0kWh;"124;5";0,0kWh
2025-01-19 23:00:00 CEST;"3;15625";"6;375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"34;5";0,0kWh
2025-01-20 00:00:00 CEST;"4;84375";"9;125";"0;0625";0,0kWh;0,0kWh;0,0kWh;"118;5";0,0kWh
2025-01-20 01:00:00 CEST;"4;875";"9;375";"0;0625";0,0kWh;0,0kWh;0,0kWh;"122;5";0,0kWh
2025-01-20 02:00:00 CEST;"4;9375";"9;125";"0;0625";0,0kWh;0,0kWh;0,0kWh;"122;5";0,0kWh
2025-01-20 03:00:00 CEST;"5;46875";"9;5";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"124;5";0,0kWh
2025-01-20 04:00:00 CEST;"4;984375";"9;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"124;5";0,0kWh
2025-01-20 05:00:00 CEST;"4;921875";"9;875";"0;0625";0,0kWh;0,0kWh;"3;3388671875";"200;5";0,0kWh
2025-01-20 06:00:00 CEST;"4;875";"42;375";"28;8125";"14;59375";0,0kWh;"9;3291015625";"488;5";0,0kWh
2025-01-20 07:00:00 CEST;"76;484375";"56;75";"47;9375";"41;25";35,0kWh;"7;884765625";"756;5";0,0kWh
2025-01-20 08:00:00 CEST;"15;84375";"47;125";"54;9375";42,0kWh;"31;3125";"7;82666015625";"784;5";0,0kWh
2025-01-20 09:00:00 CEST;"73;375";"47;375";"55;3125";"41;375";"33;1875";"7;546875";"776;5";0,0kWh
2025-01-20 10:00:00 CEST;25,0kWh;"46;625";"51;125";42,0kWh;"30;0625";"7;17431640625";"758;5";0,0kWh
2025-01-20 11:00:00 CEST;"38;21875";"48;25";"54;5625";"42;5";29,0kWh;"7;28466796875";"768;5";0,0kWh
2025-01-20 12:00:00 CEST;"34;953125";"51;875";"49;6875";"42;4375";"39;1875";"8;0087890625";"738;5";0,0kWh
2025-01-20 13:00:00 CEST;"32;453125";"82;375";"53;625";"41;53125";"37;375";"7;90234375";"782;5";0,0kWh
2025-01-20 14:00:00 CEST;"73;34375";"93;375";"53;75";"41;40625";"35;75";"7;8466796875";"764;5";0,0kWh
2025-01-20 15:00:00 CEST;"81;6875";"94;625";"55;6875";"41;71875";41,0kWh;"7;85791015625";"792;5";0,0kWh
2025-01-20 16:00:00 CEST;"67;046875";94,0kWh;"52;5625";"41;65625";39,0kWh;"7;859375";"742;5";0,0kWh
2025-01-20 17:00:00 CEST;"82;5";"94;375";"42;375";"41;6875";"38;8125";"8;09765625";"628;5";0,0kWh
2025-01-20 18:00:00 CEST;"49;453125";"77;625";"39;0625";"42;125";"40;8125";"8;1767578125";"592;5";0,0kWh
2025-01-20 19:00:00 CEST;"73;796875";"82;875";"38;8125";42,0kWh;"35;6875";"8;0556640625";"582;5";0,0kWh
2025-01-20 20:00:00 CEST;"76;125";"87;25";"40;1875";"41;6875";"39;25";"4;45166015625";"612;5";0,0kWh
2025-01-20 21:00:00 CEST;"9;265625";"86;875";"32;6875";42,0kWh;"33;0625";0,0kWh;"588;5";0,0kWh
2025-01-20 22:00:00 CEST;"9;234375";"53;25";"33;6875";"41;21875";"43;25";0,0kWh;"558;5";0,0kWh
2025-01-20 23:00:00 CEST;"7;125";"54;25";"26;1875";"30;34375";"30;875";0,0kWh;"84;5";0,0kWh
2025-01-21 00:00:00 CEST;"9;40625";"91;375";"35;8125";"40;4375";40,0kWh;0,0kWh;"584;5";0,0kWh
2025-01-21 01:00:00 CEST;"9;421875";"96;5";"35;25";"40;4375";"37;0625";0,0kWh;"586;5";0,0kWh
2025-01-21 02:00:00 CEST;"9;484375";"65;5";34,0kWh;"40;21875";"38;0625";0,0kWh;"522;5";0,0kWh
2025-01-21 03:00:00 CEST;"9;5625";"97;375";"37;1875";"39;71875";"45;375";0,0kWh;"570;5";0,0kWh
2025-01-21 04:00:00 CEST;"9;46875";"95;625";"36;25";"40;46875";"42;5";0,0kWh;"556;5";0,0kWh
2025-01-21 05:00:00 CEST;"9;5";"87;625";"32;9375";"35;84375";"42;75";0,0kWh;"544;5";0,0kWh
2025-01-21 06:00:00 CEST;"9;5";62,0kWh;"26;5625";"12;5625";"0;75";"8;24853515625";"504;5";0,0kWh
2025-01-21 07:00:00 CEST;"84;453125";93,0kWh;"48;5625";"32;90625";"35;25";"8;1875";"742;5";0,0kWh
2025-01-21 08:00:00 CEST;"59;390625";"86;75";"58;8125";"39;28125";"35;625";"7;9921875";"752;5";0,0kWh
2025-01-21 09:00:00 CEST;"81;4375";"90;625";"57;875";"41;5";"37;5";"8;005859375";"716;5";0,0kWh
2025-01-21 10:00:00 CEST;"82;296875";"88;75";"57;625";"41;25";"32;5";"8;0087890625";"754;5";0,0kWh
2025-01-21 11:00:00 CEST;"81;625";85,0kWh;"61;6875";"41;53125";"35;9375";"7;9267578125";"748;5";0,0kWh
2025-01-21 12:00:00 CEST;"81;984375";"85;25";"56;1875";"41;03125";"33;125";"7;93505859375";"730;5";0,0kWh
2025-01-21 13:00:00 CEST;"75;5";"93;875";"59;125";"34;625";"33;0625";"7;88671875";"740;5";0,0kWh
2025-01-21 14:00:00 CEST;"82;625";"91;375";"57;9375";"41;46875";"35;75";"7;8486328125";"724;5";0,0kWh
2025-01-21 15:00:00 CEST;"81;109375";"82;125";"56;5";"41;59375";"37;4375";"7;9697265625";"728;5";0,0kWh
2025-01-21 16:00:00 CEST;"82;671875";"84;625";"54;5";"41;46875";"35;5";"7;6650390625";"696;5";0,0kWh
2025-01-21 17:00:00 CEST;"82;234375";"87;625";"43;6875";"40;28125";"38;375";"7;64404296875";"648;5";0,0kWh
2025-01-21 18:00:00 CEST;"76;390625";"88;125";"44;875";"40;15625";28,0kWh;"7;68212890625";"646;5";0,0kWh
2025-01-21 19:00:00 CEST;"79;765625";86,0kWh;"43;6875";"40;8125";"28;3125";"7;75732421875";"636;5";0,0kWh
2025-01-21 20:00:00 CEST;"73;453125";"89;5";"39;3125";"42;34375";"30;3125";"6;5693359375";"594;5";0,0kWh
2025-01-21 21:00:00 CEST;"8;40625";"91;625";"37;1875";"42;21875";"24;6875";0,0kWh;"580;5";0,0kWh
2025-01-21 22:00:00 CEST;"12;984375";"86;5";"38;125";"40;6875";"27;1875";0,0kWh;"582;5";0,0kWh
2025-01-21 23:00:00 CEST;"13;4375";"71;875";"29;1875";"31;21875";"22;9375";0,0kWh;"84;5";0,0kWh
2025-01-22 00:00:00 CEST;"15;984375";"92;25";"38;8125";"41;21875";"30;25";0,0kWh;"590;5";0,0kWh
2025-01-22 01:00:00 CEST;"12;234375";"45;125";"36;6875";"40;9375";"26;5";0,0kWh;"546;5";0,0kWh
2025-01-22 02:00:00 CEST;"11;40625";"74;75";"37;125";"40;96875";"30;9375";0,0kWh;"554;5";0,0kWh
2025-01-22 03:00:00 CEST;"10;453125";"94;5";"38;5";"40;90625";"28;0625";0,0kWh;"594;5";0,0kWh
2025-01-22 04:00:00 CEST;"10;15625";"94;25";"36;5";"40;90625";"31;5625";0,0kWh;"596;5";0,0kWh
2025-01-22 05:00:00 CEST;"10;03125";66,0kWh;"35;0625";"39;34375";31,0kWh;0,0kWh;"546;5";0,0kWh
2025-01-22 06:00:00 CEST;"9;953125";"55;125";"26;125";"19;53125";"3;5625";"8;17919921875";"532;5";0,0kWh
2025-01-22 07:00:00 CEST;"84;75";"95;875";"51;1875";"41;75";"37;375";"7;98095703125";"796;5";0,0kWh
2025-01-22 08:00:00 CEST;"86;34375";94,0kWh;"59;75";"40;78125";31,0kWh;"7;79052734375";"820;5";0,0kWh
2025-01-22 09:00:00 CEST;"84;609375";"95;875";"58;4375";"35;59375";40,0kWh;"7;732421875";"828;5";0,0kWh
2025-01-22 10:00:00 CEST;"83;234375";"90;125";"55;25";"42;03125";"31;4375";"7;7080078125";"794;5";0,0kWh
2025-01-22 11:00:00 CEST;"82;21875";"92;75";"58;625";"41;46875";"30;75";"7;63623046875";"802;5";0,0kWh
2025-01-22 12:00:00 CEST;"80;546875";"92;75";"56;9375";"41;46875";"30;6875";"7;603515625";"764;5";0,0kWh
2025-01-22 13:00:00 CEST;"80;1875";"100;75";"60;25";"41;40625";"28;875";"7;685546875";"792;5";0,0kWh
2025-01-22 14:00:00 CEST;"83;796875";"100;25";"58;5";"40;625";"27;4375";"7;87353515625";"740;5";0,0kWh
2025-01-22 15:00:00 CEST;"77;0625";"95;875";"59;6875";"41;0625";"27;625";"7;76220703125";"720;5";0,0kWh
2025-01-22 16:00:00 CEST;"35;0625";"96;375";"54;6875";"40;6875";"29;125";"7;705078125";"694;5";0,0kWh
2025-01-22 17:00:00 CEST;"85;484375";"93;25";"46;125";"41;03125";"32;5625";"8;408203125";"630;5";0,0kWh
2025-01-22 18:00:00 CEST;"79;515625";"90;875";44,0kWh;"41;59375";"33;4375";"8;43017578125";"618;5";0,0kWh
2025-01-22 19:00:00 CEST;"77;875";"91;125";"46;3125";"41;4375";"34;5";"7;72412109375";"632;5";0,0kWh
2025-01-22 20:00:00 CEST;"75;59375";91,0kWh;"47;625";"41;5625";"30;375";"5;552734375";"618;5";0,0kWh
2025-01-22 21:00:00 CEST;"8;328125";"94;375";"38;875";"41;25";"40;0625";0,0kWh;"608;5";0,0kWh
2025-01-22 22:00:00 CEST;"8;546875";"98;125";"41;75";"40;28125";"33;5625";0,0kWh;"590;5";0,0kWh
2025-01-22 23:00:00 CEST;"7;46875";"80;375";"33;875";"33;96875";"23;5625";0,0kWh;"96;5";0,0kWh
2025-01-23 00:00:00 CEST;"9;15625";"95;5";39,0kWh;39,0kWh;"28;3125";0,0kWh;"574;5";0,0kWh
2025-01-23 01:00:00 CEST;"9;40625";"96;125";"39;1875";"40;46875";"28;25";0,0kWh;"584;5";0,0kWh
2025-01-23 02:00:00 CEST;"9;109375";"96;75";"38;875";"40;59375";"28;25";0,0kWh;"564;5";0,0kWh
2025-01-23 03:00:00 CEST;"8;75";"104;125";"40;0625";"40;40625";"28;5";0,0kWh;"596;5";0,0kWh
2025-01-23 04:00:00 CEST;"8;703125";"102;25";"38;0625";"40;59375";"38;25";0,0kWh;"600;5";0,0kWh
2025-01-23 05:00:00 CEST;"9;09375";"93;375";"35;8125";"39;53125";"36;5";0,0kWh;"592;5";0,0kWh
2025-01-23 06:00:00 CEST;"9;4375";"63;875";"28;625";"20;0625";"3;1875";"8;1083984375";"524;5";0,0kWh
2025-01-23 07:00:00 CEST;"78;4375";"45;875";"53;8125";"41;5625";"40;8125";"7;84521484375";"734;5";0,0kWh
2025-01-23 08:00:00 CEST;"79;21875";"46;25";"64;5625";"40;03125";"28;3125";"7;69921875";"766;5";0,0kWh
2025-01-23 09:00:00 CEST;"78;671875";"43;875";"50;3125";"41;84375";"32;3125";"7;64306640625";"760;5";0,0kWh
2025-01-23 10:00:00 CEST;"74;078125";"44;75";"55;9375";"41;5";"33;9375";"7;951171875";"710;5";0,0kWh
2025-01-23 11:00:00 CEST;"77;296875";"44;125";"59;375";"41;625";"39;3125";"7;76953125";"700;5";0,0kWh
2025-01-23 12:00:00 CEST;"76;796875";"44;125";"58;5625";"40;5625";"33;0625";"7;734375";"698;5";0,0kWh
2025-01-23 13:00:00 CEST;"75;859375";"79;25";"60;9375";"41;78125";"35;6875";"7;7744140625";"752;5";0,0kWh
2025-01-23 14:00:00 CEST;"78;046875";"93;5";"58;9375";"41;75";"37;75";"7;5859375";"752;5";0,0kWh
2025-01-23 15:00:00 CEST;"77;140625";"94;25";"56;875";"41;84375";"33;25";"7;58642578125";"752;5";0,0kWh
2025-01-23 16:00:00 CEST;"74;453125";"95;5";54,0kWh;"41;25";"37;5";"7;63916015625";"740;5";0,0kWh
2025-01-23 17:00:00 CEST;"79;59375";"95;375";"43;8125";"41;34375";"33;5625";"7;6865234375";"648;5";0,0kWh
2025-01-23 18:00:00 CEST;"79;296875";"96;375";"41;5";"39;9375";"28;25";"7;68701171875";"614;5";0,0kWh
2025-01-23 19:00:00 CEST;"78;921875";"97;875";"42;5";"41;9375";36,0kWh;"8;02783203125";"654;5";0,0kWh
2025-01-23 20:00:00 CEST;"74;140625";"61;375";"40;5";"35;15625";"37;0625";"5;353515625";"588;5";0,0kWh
2025-01-23 21:00:00 CEST;"8;234375";"96;125";"31;4375";"1;71875";"33;5";"0;0009765625";"578;5";0,0kWh
2025-01-23 22:00:00 CEST;"9;109375";"92;875";33,0kWh;"1;625";"43;9375";0,0kWh;"582;5";0,0kWh
2025-01-23 23:00:00 CEST;"7;96875";"83;25";"32;75";"1;65625";"27;9375";0,0kWh;"94;5";0,0kWh
2025-01-24 00:00:00 CEST;"9;21875";"92;125";33,0kWh;"1;90625";"36;125";0,0kWh;"582;5";0,0kWh
2025-01-24 01:00:00 CEST;"9;390625";"94;375";"35;5625";"24;375";"40;25";0,0kWh;"580;5";0,0kWh
2025-01-24 02:00:00 CEST;"9;453125";"98;25";"35;1875";"38;78125";"34;75";"0;00048828125";"562;5";0,0kWh
2025-01-24 03:00:00 CEST;"8;671875";"84;875";"38;0625";"39;09375";"30;0625";"0;00048828125";"560;5";0,0kWh
2025-01-24 04:00:00 CEST;"9;46875";"82;875";"36;5625";"39;84375";"34;125";"0;00048828125";"566;5";0,0kWh
2025-01-24 05:00:00 CEST;"9;578125";"96;125";"34;875";"39;34375";"32;625";"0;00048828125";"572;5";0,0kWh
2025-01-24 06:00:00 CEST;"9;03125";"73;25";"29;0625";"21;28125";"2;625";"8;625";"552;5";0,0kWh
2025-01-24 07:00:00 CEST;"81;921875";"99;625";"55;3125";"40;75";"43;8125";"8;037109375";"780;5";0,0kWh
2025-01-24 08:00:00 CEST;"80;578125";"66;375";"60;3125";"40;21875";"37;75";"7;91796875";"774;5";0,0kWh
2025-01-24 09:00:00 CEST;"78;265625";"80;875";"62;75";"40;5625";"39;75";"7;9384765625";"784;5";0,0kWh
2025-01-24 10:00:00 CEST;"74;125";"110;5";"61;4375";"42;34375";"35;25";"7;93212890625";"800;5";0,0kWh
2025-01-24 11:00:00 CEST;"75;609375";"105;5";"62;125";"42;375";"34;5625";"7;76025390625";"796;5";0,0kWh
2025-01-24 12:00:00 CEST;"46;875";"99;875";"59;5625";"42;21875";"36;8125";"7;75048828125";"754;5";0,0kWh
2025-01-24 13:00:00 CEST;"69;40625";96,0kWh;"43;875";"37;46875";"27;375";"7;77978515625";"570;5";0,0kWh
2025-01-24 14:00:00 CEST;"49;015625";"102;25";"41;375";"1;59375";"32;9375";"7;7548828125";"602;5";0,0kWh
2025-01-24 15:00:00 CEST;49,0kWh;"101;25";"43;125";"1;5";"33;3125";"7;72900390625";"620;5";0,0kWh
2025-01-24 16:00:00 CEST;"64;71875";"96;875";"39;8125";"1;4375";"17;75";"7;818359375";"580;5";0,0kWh
2025-01-24 17:00:00 CEST;"79;0625";"95;375";"41;0625";0,0kWh;0,0kWh;"7;73681640625";"566;5";0,0kWh
2025-01-24 18:00:00 CEST;"75;9375";95,0kWh;"40;25";0,0kWh;0,0kWh;"7;5634765625";"560;5";0,0kWh
2025-01-24 19:00:00 CEST;"77;375";"46;625";"39;5625";"2;5";0,0kWh;"7;59765625";"538;5";0,0kWh
2025-01-24 20:00:00 CEST;"66;03125";"73;5";"38;1875";"31;1875";0,0kWh;"4;57763671875";"510;5";0,0kWh
2025-01-24 21:00:00 CEST;"4;796875";"98;5";"33;0625";"42;96875";"42;5";0,0kWh;"580;5";0,0kWh
2025-01-24 22:00:00 CEST;"4;9375";"95;625";36,0kWh;"42;21875";"29;625";0,0kWh;"552;5";0,0kWh
2025-01-24 23:00:00 CEST;"4;625";"94;5";"37;125";"40;5625";"25;5";"0;00048828125";"96;5";0,0kWh
2025-01-25 00:00:00 CEST;"4;65625";"97;25";"36;875";"41;625";"30;0625";"0;00048828125";"580;5";0,0kWh
2025-01-25 01:00:00 CEST;"5;046875";97,0kWh;"37;1875";"41;53125";"27;1875";"0;00048828125";"588;5";0,0kWh
2025-01-25 02:00:00 CEST;"4;953125";"97;375";36,0kWh;"40;375";"27;5";"0;00048828125";"554;5";0,0kWh
2025-01-25 03:00:00 CEST;"4;703125";97,0kWh;"38;4375";"41;03125";"27;3125";"0;00048828125";"588;5";0,0kWh
2025-01-25 04:00:00 CEST;"5;125";"98;75";"37;25";"39;34375";"19;875";"0;00048828125";"566;5";0,0kWh
2025-01-25 05:00:00 CEST;5,0kWh;"96;125";"35;8125";"34;15625";0,0kWh;0,0kWh;"504;5";0,0kWh
2025-01-25 06:00:00 CEST;"4;796875";"61;875";"29;6875";"15;59375";0,0kWh;"8;36669921875";"464;5";0,0kWh
2025-01-25 07:00:00 CEST;"78;796875";"94;625";"42;375";"42;25";"37;5625";"8;02587890625";"654;5";0,0kWh
2025-01-25 08:00:00 CEST;"79;375";94,0kWh;"44;75";"8;90625";"27;75";"8;08935546875";"650;5";0,0kWh
2025-01-25 09:00:00 CEST;"77;734375";92,0kWh;"28;25";"1;625";"28;5625";"7;82470703125";"674;5";0,0kWh
2025-01-25 10:00:00 CEST;"77;3125";"92;875";0,0kWh;"1;8125";29,0kWh;"7;13818359375";"714;5";0,0kWh
2025-01-25 11:00:00 CEST;"77;953125";"65;625";"0;0625";"20;65625";"32;9375";"7;6337890625";"680;5";0,0kWh
2025-01-25 12:00:00 CEST;"77;0625";47,0kWh;0,0kWh;"42;21875";"28;5";"7;92333984375";"654;5";0,0kWh
2025-01-25 13:00:00 CEST;"78;21875";"40;75";"0;0625";"38;4375";"28;125";"7;935546875";"598;5";0,0kWh
2025-01-25 14:00:00 CEST;"78;625";"34;25";0,0kWh;"5;5625";"28;125";"7;95361328125";"568;5";0,0kWh
