Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 Compresseur 3 KWh-Dif;MISFAT 3 G39 KWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 G10 KWh-Diff;MISFAT 3 TGBT N°3 KWh-Diff;MISFAT 3 Eclairage 3-2 KWh-Dif
2024-09-04 15:00:00 CEST;"42;17578125";"27;75";"41;09375";"10;015625";16,0kWh;0,0kWh;"464;5";0,0kWh
2024-09-04 16:00:00 CEST;"95;85546875";75,0kWh;"86;3125";"41;46875";"25;3125";0,0kWh;"1000;5";0,0kWh
2024-09-04 17:00:00 CEST;"48;953125";"62;375";"84;9375";"25;703125";"23;5625";0,0kWh;"776;5";0,0kWh
2024-09-04 18:00:00 CEST;"75;171875";"82;875";"76;84375";"41;390625";"24;6875";0,0kWh;"808;5";0,0kWh
2024-09-04 19:00:00 CEST;"107;03125";"74;25";"72;53125";"41;484375";"33;25";0,0kWh;"854;5";0,0kWh
2024-09-04 20:00:00 CEST;"104;58984375";"75;75";"74;75";"32;46875";"29;875";0,0kWh;"824;5";0,0kWh
2024-09-04 21:00:00 CEST;"11;84375";10,0kWh;"50;875";0,0kWh;"29;875";0,0kWh;"518;5";0,0kWh
2024-09-04 22:00:00 CEST;"10;40625";"8;625";"51;03125";0,0kWh;"32;3125";0,0kWh;"526;5";0,0kWh
2024-09-04 23:00:00 CEST;"3;2578125";"2;75";"14;8125";0,0kWh;"8;6875";0,0kWh;"286;5";0,0kWh
2024-09-05 00:00:00 CEST;"8;33984375";"8;375";"50;375";0,0kWh;"32;125";0,0kWh;"508;5";0,0kWh
2024-09-05 01:00:00 CEST;"8;453125";"8;25";"46;8125";0,0kWh;"30;375";0,0kWh;"492;5";0,0kWh
2024-09-05 02:00:00 CEST;"8;41796875";"8;125";"47;0625";0,0kWh;"35;8125";0,0kWh;"480;5";0,0kWh
2024-09-05 03:00:00 CEST;"8;19140625";8,0kWh;"49;5";0,0kWh;"34;3125";0,0kWh;"510;5";0,0kWh
2024-09-05 04:00:00 CEST;"8;16015625";"8;5";"46;25";0,0kWh;"32;5";0,0kWh;"480;5";0,0kWh
2024-09-05 05:00:00 CEST;"8;22265625";"8;5";"44;65625";0,0kWh;"30;25";0,0kWh;"486;5";0,0kWh
2024-09-05 06:00:00 CEST;"10;3828125";"10;625";"38;46875";"14;140625";0,0kWh;0,0kWh;"442;5";0,0kWh
2024-09-05 07:00:00 CEST;"104;7421875";"82;375";78,0kWh;"41;84375";"38;5625";0,0kWh;"938;5";0,0kWh
2024-09-05 08:00:00 CEST;"107;57421875";"82;625";"83;46875";"42;171875";"35;25";0,0kWh;"1022;5";0,0kWh
2024-09-05 09:00:00 CEST;"105;08203125";"87;625";"96;28125";"42;0625";"32;5625";0,0kWh;"1072;5";0,0kWh
2024-09-05 10:00:00 CEST;"90;26171875";"72;75";"87;875";"42;125";"32;875";0,0kWh;"988;5";0,0kWh
2024-09-05 11:00:00 CEST;"99;4296875";"86;875";"95;09375";"41;671875";"33;375";0,0kWh;"1046;5";0,0kWh
2024-09-05 12:00:00 CEST;"80;1171875";"81;875";"89;53125";"38;25";"34;375";0,0kWh;"998;5";0,0kWh
2024-09-05 13:00:00 CEST;"75;890625";"82;25";"89;3125";"36;421875";29,0kWh;0,0kWh;"960;5";0,0kWh
2024-09-05 14:00:00 CEST;"75;29296875";"85;5";"86;21875";"40;03125";"34;1875";0,0kWh;"942;5";0,0kWh
2024-09-05 15:00:00 CEST;"89;02734375";"71;875";"90;71875";"40;34375";"32;875";0,0kWh;"1006;5";0,0kWh
2024-09-05 16:00:00 CEST;"101;2421875";"80;625";"84;375";"30;59375";"36;625";0,0kWh;"1004;5";0,0kWh
2024-09-05 17:00:00 CEST;"102;37890625";"82;25";"85;84375";"40;546875";"37;5";0,0kWh;"934;5";0,0kWh
2024-09-05 18:00:00 CEST;"101;484375";"86;25";"75;5";"40;578125";"35;75";0,0kWh;"874;5";0,0kWh
2024-09-05 19:00:00 CEST;"101;1015625";"88;25";"74;03125";"40;375";"37;8125";0,0kWh;"898;5";0,0kWh
2024-09-05 20:00:00 CEST;"96;53515625";"64;75";"73;09375";"36;75";"37;0625";0,0kWh;"816;5";0,0kWh
2024-09-05 21:00:00 CEST;"9;05078125";"11;625";"50;53125";0,0kWh;"32;25";0,0kWh;"556;5";0,0kWh
2024-09-05 22:00:00 CEST;"7;71875";"10;875";"52;125";0,0kWh;"34;9375";0,0kWh;"548;5";0,0kWh
2024-09-05 23:00:00 CEST;"3;2421875";"4;125";"18;53125";0,0kWh;"13;375";0,0kWh;"316;5";0,0kWh
2024-09-06 00:00:00 CEST;"9;375";9,0kWh;50,0kWh;0,0kWh;"34;25";0,0kWh;"540;5";0,0kWh
2024-09-06 01:00:00 CEST;"9;6328125";"9;5";"48;15625";0,0kWh;"28;6875";0,0kWh;"540;5";0,0kWh
2024-09-06 02:00:00 CEST;"8;8984375";"9;125";"48;3125";0,0kWh;"36;1875";0,0kWh;"532;5";0,0kWh
2024-09-06 03:00:00 CEST;"9;45703125";"9;375";"47;0625";0,0kWh;"34;25";0,0kWh;"512;5";0,0kWh
2024-09-06 04:00:00 CEST;"9;32421875";9,0kWh;"45;1875";0,0kWh;37,0kWh;0,0kWh;"518;5";0,0kWh
2024-09-06 05:00:00 CEST;"8;0703125";"9;25";"44;15625";0,0kWh;"33;875";0,0kWh;"470;5";0,0kWh
2024-09-06 06:00:00 CEST;"10;265625";"27;75";"40;21875";"13;5625";0,0kWh;0,0kWh;"484;5";0,0kWh
2024-09-06 07:00:00 CEST;"103;234375";"85;375";"78;96875";"42;265625";"34;875";0,0kWh;"954;5";0,0kWh
2024-09-06 08:00:00 CEST;"64;6328125";"81;75";"91;59375";"40;765625";"34;125";0,0kWh;"950;5";0,0kWh
2024-09-06 09:00:00 CEST;"45;23828125";"83;75";"94;03125";"40;984375";"31;5";0,0kWh;"978;5";0,0kWh
2024-09-06 10:00:00 CEST;"44;70703125";"72;625";"84;03125";"41;171875";"31;875";0,0kWh;"934;5";0,0kWh
2024-09-06 11:00:00 CEST;"42;58984375";"81;875";"90;875";"41;359375";"34;6875";0,0kWh;"980;5";0,0kWh
2024-09-06 12:00:00 CEST;"42;17578125";"80;875";"85;53125";"41;0625";"32;4375";0,0kWh;"956;5";0,0kWh
2024-09-06 13:00:00 CEST;"75;78515625";"79;5";"75;46875";"37;40625";"28;4375";0,0kWh;"920;5";0,0kWh
2024-09-06 14:00:00 CEST;"51;87109375";"73;625";"76;59375";"39;140625";"4;8125";0,0kWh;"922;5";0,0kWh
2024-09-06 15:00:00 CEST;"46;59375";"81;75";"83;78125";"20;203125";"32;25";0,0kWh;"952;5";0,0kWh
2024-09-06 16:00:00 CEST;"74;75";"66;5";"81;71875";"41;265625";"31;25";0,0kWh;"962;5";0,0kWh
2024-09-06 17:00:00 CEST;"79;16796875";"65;5";"78;65625";"23;640625";"4;1875";0,0kWh;"794;5";0,0kWh
2024-09-06 18:00:00 CEST;"78;21484375";"79;875";74,0kWh;"12;71875";0,0kWh;0,0kWh;"788;5";0,0kWh
2024-09-06 19:00:00 CEST;"76;609375";"79;375";"69;09375";"39;71875";0,0kWh;0,0kWh;"808;5";0,0kWh
2024-09-06 20:00:00 CEST;"66;84375";"76;5";"70;09375";"36;15625";0,0kWh;0,0kWh;"758;5";0,0kWh
2024-09-06 21:00:00 CEST;"6;9765625";"10;125";"49;5";0,0kWh;"40;125";0,0kWh;"554;5";0,0kWh
2024-09-06 22:00:00 CEST;"7;6171875";"9;5";"50;28125";0,0kWh;"31;625";0,0kWh;"540;5";0,0kWh
2024-09-06 23:00:00 CEST;"3;28125";"4;125";"21;78125";0,0kWh;"16;1875";0,0kWh;"304;5";0,0kWh
2024-09-07 00:00:00 CEST;"7;78125";"7;625";"50;125";0,0kWh;31,0kWh;0,0kWh;"528;5";0,0kWh
2024-09-07 01:00:00 CEST;"7;29296875";"7;625";"48;65625";0,0kWh;"29;125";0,0kWh;"524;5";0,0kWh
2024-09-07 02:00:00 CEST;"7;6640625";"7;875";"49;6875";0,0kWh;"31;75";0,0kWh;"530;5";0,0kWh
2024-09-07 03:00:00 CEST;"7;359375";"8;125";"50;96875";0,0kWh;"35;5625";0,0kWh;"540;5";0,0kWh
2024-09-07 04:00:00 CEST;"8;328125";"8;25";"49;1875";0,0kWh;"31;5";0,0kWh;"518;5";0,0kWh
2024-09-07 05:00:00 CEST;"7;40625";"8;375";"48;71875";0,0kWh;"29;3125";0,0kWh;"512;5";0,0kWh
2024-09-07 06:00:00 CEST;"10;69921875";"10;75";"43;96875";"12;34375";0,0kWh;0,0kWh;"480;5";0,0kWh
2024-09-07 07:00:00 CEST;"74;015625";"82;75";"76;96875";"40;5";"35;125";0,0kWh;"860;5";0,0kWh
2024-09-07 08:00:00 CEST;"77;31640625";"82;75";"76;9375";"41;375";"31;8125";0,0kWh;"898;5";0,0kWh
2024-09-07 09:00:00 CEST;"75;61328125";85,0kWh;"88;625";"41;453125";"31;3125";0,0kWh;"982;5";0,0kWh
2024-09-07 10:00:00 CEST;"75;5078125";"84;5";"78;125";"41;625";"28;75";0,0kWh;"956;5";0,0kWh
2024-09-07 11:00:00 CEST;"59;4453125";"84;375";"92;03125";"40;96875";"27;5";0,0kWh;"962;5";0,0kWh
2024-09-07 12:00:00 CEST;"15;53125";"45;375";"82;21875";"38;8125";"27;25";0,0kWh;"818;5";0,0kWh
2024-09-07 13:00:00 CEST;"96;828125";"74;875";"86;625";"35;109375";"28;625";0,0kWh;"904;5";0,0kWh
2024-09-07 14:00:00 CEST;"99;98046875";"77;75";"73;71875";"37;671875";"0;9375";0,0kWh;"822;5";0,0kWh
2024-09-07 15:00:00 CEST;"100;2734375";62,0kWh;"75;6875";"39;1875";0,0kWh;0,0kWh;"840;5";0,0kWh
2024-09-07 16:00:00 CEST;"101;2578125";"45;875";"69;625";"38;984375";0,0kWh;0,0kWh;"792;5";0,0kWh
